S.No,Model Name,SKU Code,MRP (INR),Dimensions (LxWxH mm),Trap Distance,Flushing Technology,Product URL,Image URL,Warranty,Features & Description
11,Fabio One Piece Toilet - S 300,522589,18500,670x360x750mm,S-300 mm (12 inches),2D Syphonic Flushing,https://hindware.com/p/bath/fabio-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/522589.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Hindware Fabio Closet reimagines bathroom elegance, offering a blend of dynamic design and practical innovation. | | 3D Syphonic Flushing: Delivers a powerful and efficient flush, ensuring thorough cleaning with minimal water usage. | Rimless Bowl Design: Eliminates hidden corners where dirt and bacteria can accumulate, promoting superior hygiene and easier maintenance. | Soft-Close Seat Cover: Provides a quiet and gentle closing action, enhancing user comfort and preventing wear and tear. | Slim, Attractive Cistern: Adds a sleek and modern touch to the overall design, enhancing the bathroom's aesthetic appeal."
12,Ascent One Piece Toilet - S 300,526067,17500,670x360x745mm,S-300 mm (12 inches),3D Syphonic Flushing,https://hindware.com/p/bath/ascent-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/526067.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Hindware Ascent One Piece Closet is designed to elevate your bathroom experience, combining sleek aesthetics with advanced functionality. Its seamless curves and refined silhouette bring a sense of sophistication to any modern bathroom. | | 5D Syphonic Flushing System: Delivers a powerful and efficient flush, ensuring thorough cleaning with minimal water usage. | Rimless Bowl Design: Eliminates hidden corners where dirt and bacteria can accumulate, promoting superior hygiene and easier maintenance. | Soft-Close Seat Cover: Provides a quiet and gentle closing action, enhancing user comfort and preventing wear and tear."
13,Ascent Neo One Piece Toilet - S 300,528381,16500,670 x 360 x 745 mm,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/ascent-neo-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/528381-1778505329342.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Hindware Ascent Neo One Piece Closet is designed to elevate your bathroom experience, combining sleek aesthetics with advanced functionality. Its seamless curves and refined silhouette bring a sense of sophistication to any modern bathroom. | | | 6D Syphonic Flushing System: | Delivers a powerful and efficient flush, ensuring thorough cleaning with minimal water usage. | | | Rimless Bowl Design: | Eliminates hidden corners where dirt and bacteria can accumulate, promoting superior hygiene and easier maintenance. | | | Soft-Close Seat Cover: | Provides a quiet and gentle closing action, enhancing user comfort and preventing wear and tear.&nbsp;"
14,Studio One Piece Toilet - S 300,525242,15990,655x365x730mm,S-300 mm (12 inches),3D Syphonic Flushing,https://hindware.com/p/bath/studio-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/525242.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Hindware Studio S-22 One Piece Water Closet reimagines bathroom design by blending artistic precision with functional innovation. Its sculpted silhouette and seamless contours bring a refined, gallery-like elegance to modern interiors. | | 3D Syphonic Flushing: Delivers a powerful and efficient flush, ensuring thorough cleaning with minimal water usage. | Rimless Design: Eliminates hidden corners where dirt and bacteria can accumulate, promoting superior hygiene and easier maintenance. | Soft-Close Duroplast Seat Cover: Provides a quiet and gentle closing action, enhancing user comfort and preventing wear and tear. | 10-Year Warranty: Offers peace of mind with a decade-long warranty, reflecting Hindware's commitment to quality and durability."
15,Studio Neo One Piece Toilet - S 300,528339,14990,655 x 365 x 730 mm,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/studio-neo-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/528339-1778505752647.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"The Hindware Studio Neo S-300 One Piece Water Closet reimagines bathroom design by blending artistic precision with functional innovation. Its sculpted silhouette and seamless contours bring a refined, gallery-like elegance to modern interiors. | | | 3D Syphonic Flushing: | Delivers a powerful and efficient flush, ensuring thorough cleaning with minimal water usage. | | | Rimless Design: | Eliminates hidden corners where dirt and bacteria can accumulate, promoting superior hygiene and easier maintenance. | | | Soft-Close Duroplast Seat Cover: | Provides a quiet and gentle closing action, enhancing user comfort and preventing wear and tear. | | | 10-Year Warranty: | Offers peace of mind with a decade-long warranty, reflecting Hindware's commitment to quality and durability."
16,Elegance One Piece Toilet - S 300,525184,14900,660 x 360 x 730 mm,S-300 mm (12 inches),4D Syphonic Flushing,https://hindware.com/p/bath/elegance-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/525184-1779169216705.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Hindware Elegance Rimless Closet | | | A seamless blend of understated elegance and intelligent engineering, designed to deliver superior comfort, enhanced hygiene, and effortless functionality for modern bathrooms. | | | Rimless Bowl Technology: | Engineered to ensure powerful, edge-to-edge flushing with no concealed cavities, preventing the buildup of dirt and bacteria while enabling easy maintenance and superior hygiene. | | | 4D Syphonic Flushing System: | Advanced multi-directional flushing mechanism that provides optimized water flow for efficient waste removal, quieter operation, and consistent cleaning performance. | | | Soft-Close Seat Cover: | Designed for smooth, silent closing to enhance user comfort and prevent impact-related wear and tear. | | | Durable Ceramic Construction: | Crafted from premium-grade ceramic for long-lasting durability, complemented by a 10-year warranty for assured reliability."
17,Venice One Piece Toilet - S 300,522539,14900,650x360x730mm,S-300 mm (12 inches),2D Syphonic Flushing,https://hindware.com/p/bath/venice-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/522539.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Infuse your bathroom with the tranquil elegance of the Hindware Venice One Piece Closet, where timeless design meets modern functionality. | | | 2D Syphonic Flushing with Vortex Action | : Delivers a powerful and efficient flush, ensuring thorough cleaning with minimal water usage. | | Soft-Close Seat Cover | : Provides a quiet and gentle closing action, enhancing user comfort and preventing wear and tear."
18,Enigma One Piece Toilet - S 300,9263631SW,13200,700x360x760mm,S-300 mm (12 inches),Washdown Flushing,https://hindware.com/p/bath/enigma-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/9263631SW.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Introducing the Hindware Enigma S-220 One-Piece Water Closet—a seamless blend of design and practicality, crafted to enhance your daily bathroom experience. | | Soft-Close Seat Cover: Ensures a gentle, noise-free closure, enhancing comfort and preventing wear. | Efficient Dual Flush System: Offers 3/6-liter flush options, promoting water conservation without compromising performance."
19,Prima Syphonic One Piece Toilet - S 300,2019031,12500,645 x 355 x745 mm,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/prima-syphonic-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/2019031-1778504151794.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Discover the essence of understated elegance with the Hindware Prima One-Piece Water Closet—where simplicity meets reliable performance. | | | Soft-Close Seat Cover: | Enjoy a gentle, noise-free closure that prevents slamming and extends seat life. | | | Durable Ceramic Build: | Made from premium-grade ceramic and backed by a 10-year warranty for lasting peace of mind."
20,Tozzo One Piece Toilet - S 300,2014831SW,11990,645x355x675mm,S-300 mm (12 inches),Washdown Flushing,https://hindware.com/p/bath/tozzo-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/2014831SW.jpg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Reimagine bathroom hygiene with the Hindware Tozzo Closet—its sleek, square silhouette and intuitive design make it an ideal choice for modern spaces, offering a seamless blend of form and function. | | Soft-Close Seat Cover: Ensures a gentle, noise-free closure, enhancing comfort and preventing wear."
21,Prima Washdown One Piece Toilet - S 300,2018830,11500,645 x 355 x745 mm,S-300 mm (12 inches),Washdown Flushing,https://hindware.com/p/bath/prima-washdown-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/2018830-1778504522580.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Discover the essence of understated elegance with the Hindware Prima One-Piece Water Closet—where simplicity meets reliable performance. | | | Soft-Close Seat Cover: | Enjoy a gentle, noise-free closure that prevents slamming and extends seat life. | | | Durable Ceramic Build: | Made from premium-grade ceramic and backed by a 10-year warranty for lasting peace of mind."
22,Ace Syphonic One Piece Toilet - S 300,2018131,11500,620 X 370 X 745,S-300 mm (12 inches),Syphonic Flushing,https://hindware.com/p/bath/ace-syphonic-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/2018131-1778498330451.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Discover the essence of practical elegance with the Hindware Ace Syphonic One-Piece Closet—where simplicity meets dependable performance. | | | Soft-Close Seat Cover: | Enjoy a gentle, noise-free closure that prevents slamming and prolongs the life of your seat. | | | Powerful Syphonic Flush: | Delivers a single, effective flush for thorough waste removal, reducing the need for multiple flushes. | | | Durable Craftsmanship: | Molded from premium-grade ceramic and backed by a 10-year warranty, it ensures lasting reliability and peace of mind."
23,Ace WashDown One Piece Toilet - S 300,2018431,10500,620 X 370 X 745,S-300 mm (12 inches),Washdown Flushing,https://hindware.com/p/bath/ace-washdown-one-piece-toilet-s-300,https://hindwarestg.blob.core.windows.net/container1/products/2018431-1778503308954.jpeg,Ceramic Body - 10 Years  Seat Cover & Fittings - 1 Year,"Discover the essence of practical elegance with the Hindware Ace Washdown One-Piece Closet—where simplicity meets dependable performance. | | | Soft-Close Seat Cover: | Enjoy a gentle, noise-free closure that prevents slamming and prolongs the life of your seat. | | | Powerful Wash Down Flush: | Delivers a single, effective flush for thorough waste removal, reducing the need for multiple flushes. | | | Durable Craftsmanship: | Molded from premium-grade ceramic and backed by a 10-year warranty, it ensures lasting reliability and peace of mind."
